"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"Paraguay","PRY",13328941538,13722313059,29637290,25254350,0.002223529146,3,0.001840385793,4,19.5,4.6,12.2,2,19.3,5.2,12.25,2,"5.4% - 15.25%","0.001% - 0.002%","0.002% - 0.04%","12.175% - 20.35%"
"Peru","PER",52296167561,54886884607,20888060,NA,0.0003994185611,2,NA,NA,14.5,3.2,8.8,1,9.5,8.9,9.2,2,"5.4% - 15.25%","missing","0% - 0.001%","3.3% - 12.175%"
"Philippines","PHL",1.52e+11,1.07e+11,11885340,265219590,7.8e-05,1,0.00248,4,40.6,6.4,23.4,3,33.1,11.5,22.3,3,"15.25% - 28.95%","0.002% - 0.048%","0% - 0.001%","20.35% - 25.325%"
"Poland","POL",3.02e+11,3.31e+11,62967650,3499292860,0.000208,1,0.0106,4,29.6,19.6,24.4,3,52.7,24.5,38.6,4,"28.95% - 59.4%","0.002% - 0.048%","0% - 0.001%","20.35% - 25.325%"
"Portugal","PRT",1.03e+11,1.04e+11,113128480,640585560,0.00109,2,0.00613,4,27.6,15.4,21.1,3,38.1,9.7,23.9,3,"15.25% - 28.95%","0.002% - 0.048%","0.001% - 0.002%","20.35% - 25.325%"
"Qatar","QAT",66769780220,92046153846,45296390,NA,0.0006783965718,2,NA,NA,23.5,2,19,2,10.3,5.8,8.05,2,"5.4% - 15.25%","missing","0% - 0.001%","12.175% - 20.35%"
"Romania","ROU",1.11e+11,1.01e+11,113818930,742701480,0.00102,2,0.00736,4,35.5,17.4,26.1,4,50.7,12.7,31.7,4,"28.95% - 59.4%","0.002% - 0.048%","0.001% - 0.002%","25.325% - 43.8%"
"Russian Federation","RUS",3.52e+11,4.81e+11,46365380,262045910,0.000132,1,0.000544,3,42.7,10.9,25.3,3,48.2,8.1,28.15,3,"15.25% - 28.95%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Rwanda","RWA",3741294412,2258781198,3444680,24350,0.0009207187729,2,1.078014994e-05,1,18.4,6.7,12.4,2,4.4,3.4,3.9,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Samoa","WSM",440931665.4,321405538.6,200,504960,4.535850239e-07,1,0.001571099248,3,36.6,14.9,26.1,4,44,28,36,4,"28.95% - 59.4%","0.001% - 0.002%","0% - 0.001%","25.325% - 43.8%"
"Sao Tome and Principe","STP",1.48e+08,1e+07,179030,NA,0.001209662162,3,NA,NA,9.3,1.4,5.3,1,18.2,6.5,12.35,2,"5.4% - 15.25%","missing","0.001% - 0.002%","3.3% - 12.175%"
